子任务ID,父任务ID,序列,子任务组,禁止进入联机,显示状态,[领取条件]组合,[领取条件]1类型,[领取条件]1参数1,[领取条件]1参数2,[领取条件]1参数3,[领取条件]2类型,[领取条件]2参数1,[领取条件]2参数2,[领取条件]2参数3,[领取条件]3类型,[领取条件]3参数1,[领取条件]3参数2,[领取条件]3参数3,[领取条件]4类型,[领取条件]4参数1,[领取条件]4参数2,[领取条件]4参数3,[完成条件]组合,[完成条件]1类型,[完成条件]1参数1,[完成条件]1参数2,[完成条件]1复杂参数,[完成条件]1次数,[完成条件]2类型,[完成条件]2参数1,[完成条件]2复杂参数,[完成条件]2次数,[完成条件]3类型,[完成条件]3参数1,[完成条件]3复杂参数,[完成条件]3次数,[完成条件]4类型,[完成条件]4参数1,[完成条件]4复杂参数,[完成条件]4次数,[失败条件]组合,[失败条件]1类型,[失败条件]1参数1,[失败条件]1参数2,[失败条件]1复杂参数,[失败条件]1次数,[失败条件]2类型,[失败条件]2参数1,[失败条件]2参数2,[失败条件]2复杂参数,[失败条件]2次数,[任务指引]类型,[任务指引]自动开启或关闭,[任务指引]参数1,[任务指引]参数2,[任务指引]场景ID,[任务指引]样式,[任务指引]显示层级,场景内指引,完成父任务,失败父任务,是存档点,[任务道具]ID,[任务道具]数量,[执行]1类型,[执行]1参数1,[执行]1参数2,[执行]2类型,[执行]2参数1,[执行]2参数2,[执行]3类型,[执行]3参数1,[执行]3参数2,[失败执行]1类型,[失败执行]1参数1,[失败执行]1参数2,[失败执行]2类型,[失败执行]2参数1,[失败执行]2参数2,[失败执行]3类型,[失败执行]3参数1,[失败执行]3参数2,[开始执行]1类型,[开始执行]1参数1,[开始执行]1参数2,[开始执行]2类型,[开始执行]2参数1,[开始执行]2参数2,[开始执行]3类型,[开始执行]3参数1,[开始执行]3参数2,独占NPC,共享NPC,独占优先级,试用角色列表,加载技能组,独占情境ID,CoopPointID,刷新是否限定单机,关卡映射
100007,1000,11,,,,,1,100006,3,,,,,,,,,,,,,,,4,100007,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Q1000Zone2,,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209001#207201#10211#1625#2064#2023,,1000,,,,,,
100021,1000,12,3,,,,1,100007,3,,,,,,,,,,,,,,2,2,100021,,,,2,10002101,,,,,,,,,,,,,,,,,,,,,,1,,Q1000Xianglu2High,,3,2,1,,,,1,,,23,100024,1,23,100023,1,,,,,,,,,,,,,,,,,,,,,,209001#207201#10211#2069#2071#2073,,1000,,,,,,
100022,1000,13,3,,,,1,100007,3,,,,,,,,,,,,,,2,2,100022,,,,2,10002201,,,,,,,,,,,,,,,,,,,,,,1,,Q1000Xianglu1High,,3,2,1,,,,1,,,23,100024,1,23,100023,1,,,,,,,,,,,,,,,,,,,,,,209001#207201#10211#2069#2071#2073,,1000,,,,,,
100023,1000,14,,,1,,1,100007,3,,,,,,,,,,,,,,,24,100023,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100024,1000,15,,,1,,1,100007,3,,,,,,,,,,,,,,,24,100024,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,23,100025,1,,,,,,,,,,,,,,,,,,,,,,,,,209001#207201#10211#2069#2071#2073,,1000,,,,,,
100025,1000,16,,,1,,1,100007,3,,,,,,,,,,,,,,,24,100025,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,23,100101,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100026,1000,17,,1,,,1,100024,3,,,,,,,,,,,,,,,4,100026,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Q1000Zone2,,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2073#2069#2071,,1000,,,,,,
100008,1000,18,,1,,,1,100026,3,,,,,,,,,,,,,,,4,100008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,23,100401,1,23,100402,1,,,,,,,,,,,,,21,11,,,,,,,,2073#2069#2071,,1000,,,,,,
100015,1000,19,,1,,,1,100008,3,,,,,,,,,,,,,,,2,100015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,31,0,,,,,,,,2073#2069#2071,,1000,,,,,,
100009,1000,20,,1,1,,1,100015,3,,,,,,,,,,,,,,,4,100009,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Q1000Zone3,,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,31,0,,,,,,,,,,,,,,,,
100027,1000,21,,1,1,,1,100009,3,,,,,,,,,,,,,,,24,100027,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100010,1000,22,,1,,,1,100009,3,,,,,,,,,,,,,,,4,100010,,,,,,,,,,,,,,,,,8,100010,,,,,,,,,1,,Q1000Target,,3,4,1,,,,1,,,23,100027,1,,,,,,,,,,,,,,,,31,0,,,,,,,,,,,,,,,,
100011,1000,23,,1,1,,1,100010,4,,,,,,,,,,,,,,,4,100011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,14,100010,,,,,,,,,,,,,,,,,31,0,,,,,,,,,,,,,,,,
100012,1000,24,,1,1,,1,100010,3,,,,,,,,,,,,,,,4,100012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,
100013,1000,25,,,,,1,100012,3,,,,,,,,,,,,,,,2,100013,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,10200,,3,2,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10200,,1000,,,,,,
100014,1000,26,,,,,1,100013,3,,,,,,,,,,,,,,,2,100014,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Q100014GongziUp,,3,2,2,,1,,1,100430,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,10200,,1000,,,,,,
100101,1001,1,,,1,,1,100006,3,,,,,,,,,,,,,,2,2,100101,,,,2,100102,,,,,,,,,,,,24,100101,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100102,1001,2,,,1,,1,100101,3,,,,,,,,,,,,,,,4,100102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,14,100101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100103,1001,3,,,1,,1,100101,4,,,,,,,,,,,,,,,4,100103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100201,1002,1,,,,,1,100014,3,,,,,,,,,,,,,,,6,1160,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Q1002_Target1,90,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,19,3,133103903#1,,,,,,,2002801,,1000,,,,,,
100202,1002,2,,1,1,,1,100201,3,,,,,,,,,,,,,,,2,100202,,,,,,,,,,,,,,,,,21,,,,,,,,,,2,,2002801,,3,2,2,,,,,,,,,,,,,,,,14,100201,,,,,,,,,,,,,,,,,2002801,,1000,,,,,,
100203,1002,3,,1,1,,1,100201,3,,,,,,,,,,,,,,,4,100203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,3,133103903#2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100204,1002,4,,1,,,1,100202,3,,,,,,,,,,,,,,,20,,,133103903,20,,,,,,,,,,,,,2,8,100204,,,,21,,,,,1,,Q1002_Target2,50,3,,,,,,,,,19,3,133103903#1,,,,,,,14,100201,,19,3,133103903#1,,,,,,,,,,,,,2002801,,1000,,,,,,
100205,1002,5,,1,1,,1,100204,3,,,,,,,,,,,,,,,2,100205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002801,,1000,,,,,,
100301,1003,1,,1,,,1,100205,3,,,,,,,,,,,,,,,4,100301,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Q1003Trigger,,3,2,2,1,,,1,,,23,100320,1,,,,,,,,,,,,,,,,,,,,,,,,,,10204,1000,,,,,,
100320,1003,2,,,1,,1,100301,2,,,,,,,,,,,,,,,4,100320,,,,,,,,,,,,,,,,,24,100320,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100302,1003,3,,1,1,,1,100301,3,,,,,,,,,,,,,,,4,100302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100303,1003,4,,,,,1,100302,3,,,,,,,,,,,,,,2,2,100399,,,,2,100398,,,,,,,,,,,,,,,,,,,,,,2,,10204,,3,2,2,,,,1,,,23,100319,1,,,,,,,,,,,,,,,,,,,,,,,,,10204,,1000,,,,,,
100319,1003,5,,,1,,1,100301,3,,,,,,,,,,,,,,2,4,100319,,,,24,100319,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100304,1003,6,,,,,1,100303,3,,,,,,,,,,,,,,,2,100304,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,220801,,3,2,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2208#2204#2202#231101#231102,,1000,,,,,,
100305,1003,7,,,,,1,100304,3,,,,,,,,,,,,,,,5,108030,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2208#2204#2202#231101#231102,,1000,,,,,,
100306,1003,8,,,,,1,100305,3,,,,,,,,,,,,,,,2,100306,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,220401,,3,2,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2208#2204#2202#231101#231102,,1000,,,,,,
100307,1003,9,,,,,1,100306,3,,,,,,,,,,,,,,,4,100307,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Q100307Trigger,,3,4,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2208#2204#2202#231101#231102,,1000,,,,,,
100308,1003,10,,,1,,1,100307,3,,,,,,,,,,,,,,,2,100308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2208#2204#2202#231101#231102,,1000,,,,,,
100309,1003,11,,,,,1,100308,3,,,,,,,,,,,,,,,2,100309,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,220401,,3,2,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2208#2204#2202#231101#231102,,1000,,,,,,
100310,1003,12,,,,,1,100309,3,,,,,,,,,,,,,,,2,100310,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,220801,,3,2,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2208#2204#2202#231101#231102,,1000,,,,,,
100321,1003,13,,,,,1,100310,3,,,,,,,,,,,,,,,25,70710056,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Q100321Guide,,3,2,2,,,,,,,19,3,133104471#2,,,,,,,,,,,,,,,,19,3,133104471#1,,,,,,,2208#2204#2202#231101#231102,,1000,,,,,,
100311,1003,14,,1,,,1,100321,3,,,,,,,,,,,,,,,4,100311,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Q100311Trigger,45,3,2,2,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2208#2204#2202#231101#231102,,1000,,,,,,
100312,1003,15,,1,1,,1,100311,3,,,,,,,,,,,,,,,4,100312,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,231102,,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,19,3,133104041#2,19,3,133104212#2,19,3,133104424#1,2208#2204#2202#231101#231102,,1000,,,,,,
100313,1003,16,,1,,,1,100312,3,,,,,,,,,,,,,,,4,100313,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Q100313Trigger,,3,2,2,1,,,1,,,,,,,,,,,,,,,,,,,,,19,3,133104041#2,19,3,133104212#2,19,3,133104424#1,2208#2204#2202#231101#231102,,1000,,,,,,
100314,1003,17,,1,,,1,100313,3,,,,,,,,,,,,,,,7,133104424,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Q100313Trigger,,3,2,2,1,,,1,,,19,3,133104424#3,,,,,,,,,,,,,,,,19,3,133104041#2,19,3,133104212#2,19,3,133104424#2,2208#2204#2202#231101#231102,,1000,,,,,,
100315,1003,18,,,,,1,100314,3,,,,,,,,,,,,,,,2,100315,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,231101,,3,2,2,,,,1,,,,,,,,,,,,,,,,,,,,,19,3,133104041#2,19,3,133104212#2,,,,2208#2204#2202#231101#231102,,1000,,,,,,
100316,1003,19,,,,,1,100315,3,,,,,,,,,,,,,,,2,100316,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,220401,,3,2,2,,,,1,100428,1,19,3,133104041#1,19,3,133104212#1,,,,,,,,,,,,,19,3,133104041#2,19,3,133104212#2,,,,2208#2204#2202#231101#231102,,1000,,,,,,
100317,1003,20,,,,1,1,100316,3,,1,100305,3,,,,,,,,,,,2,100317,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,10204,,3,2,2,,1,,1,,,1,108030,1,1,100428,1,,,,,,,,,,,,,,,,,,,,,,10204#2204,,1000,,,,,,
100401,1004,1,,,1,,1,100006,3,,,,,,,,,,,,,,,24,100401,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100402,1004,2,,,1,,1,100006,3,,,,,,,,,,,,,,,24,100402,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,19,3,133107010#2,,,,,,,,,,,,,,,
100403,1004,3,,,1,,1,100402,3,,,,,,,,,,,,,,,24,100403,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,19,3,133107010#3,,,,,,,,,,,,,,,
100404,1004,4,,,1,,1,100403,3,,,,,,,,,,,,,,,18,0,,0#24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,19,3,133107010#1,,,,,,,,,,,,,,,
100501,1005,1,,,1,,1,4000506,3,,,,,,,,,,,,,,,18,0,,0#24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100601,1006,1,,,1,,1,4000505,3,,,,,,,,,,,,,,,18,0,,0#24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100701,1007,1,,,1,,1,100012,3,,,,,,,,,,,,,,2,2,100701,,,,2,100702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100702,1007,2,,,1,,1,100701,3,,,,,,,,,,,,,,,4,100702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,14,100701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100703,1007,3,,,1,,1,101801,3,,,,,,,,,,,,,,,4,100703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100808,1008,1,,,1,,1,100205,3,,,,,,,,,,,,,,,4,100808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,15,3,133103908,15,3,133103913,,,,,,,,,,,,,19,3,133103908#1,19,3,133103907#1,19,3,133103913#2,,10259#10260,,,,,,,
100801,1008,2,,,,,1,100808,3,,,,,,,,,,,,,,,24,100801,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,Q100802DaoBorn01,50,3,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10259#10260,,1000,,,,,,
100802,1008,3,,,1,,1,100808,3,,,,,,,,,,,,,,,2,100802,,,,,,,,,,,,,,,,,24,100802,,,1,,,,,,,,,,,,,,,,,,,23,100801,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100803,1008,4,,,1,,1,100808,3,,,,,,,,,,,,,,,20,,,13310390801,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,100801,1,23,100802,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100804,1008,5,,,,1,1,100802,3,,1,100803,2,,,,,,,,,,,20,,,13310390801,1,,,,,,,,,,,,,,,,,,,,,,,,1,,Q1008Target,70,3,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10259#10260,,1000,,,,,,
100805,1008,6,,,,2,1,100803,3,,1,100804,3,,,,,,,,,,2,2,100805,,,,2,100898,,,,,,,,,,,,,,,,,,,,,,2,,10260,,3,2,2,,,,1,,,19,3,133103907#1,,,,,,,,,,,,,,,,,,,,,,,,,10259#10260,,1000,,,,,,
100806,1008,7,,,,,1,100805,3,,,,,,,,,,,,,,2,2,100806,,,,2,100897,,,,,,,,,,,,,,,,,,,,,,2,,10259,,3,2,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10259#10260#10257,,1000,,,,,,
100807,1008,8,,,,,1,100806,3,,,,,,,,,,,,,,,2,100807,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,10257,,3,2,2,,1,,1,,,19,3,133103908#1,19,3,133103913#1,,,,,,,,,,,,,,,,,,,,,,10259#10260#10257,,1000,,,,,,
100901,1009,1,,,,,1,100205,3,,,,,,,,,,,,,,,4,100901,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Q100907Tribute,50,3,2,2,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100915,1009,2,,,,,1,100901,3,,,,,,,,,,,,,,,2,100915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,3,133101905#2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100902,1009,3,1,,,,1,100915,3,,,,,,,,,,,,,,,2,100902,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Q100902Clue,25,3,2,2,1,,,1,109410#100088#100015,1#4#2,23,100905,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100903,1009,4,1,,,,1,100915,3,,,,,,,,,,,,,,,2,100903,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Q100903Clue,25,3,2,2,1,,,1,109406#110001,1#2,23,100905,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100904,1009,5,1,,,,1,100915,3,,,,,,,,,,,,,,,2,100904,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Q100904Clue,25,3,2,2,1,,,1,109411,1,23,100905,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100905,1009,6,,,1,,1,100915,3,,,,,,,,,,,,,,,24,100905,,,3,,,,,,,,,,,,,,,,,,,,,,,,1,,Q100907Tribute,50,3,2,2,1,,,1,,,23,100906,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100906,1009,7,,,1,,1,100915,3,,,,,,,,,,,,,,,24,100906,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100907,1009,8,,,,,1,100906,3,,,,,,,,,,,,,,,20,,,133101914,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,23,100910,1,19,3,133101906#2,19,3,133101914#1,,,,,,,,,,19,3,133101914#2,,,,,,,,,,,,,,,
100908,1009,9,,,,,1,100906,3,,,,,,,,,,,,,,,20,,,133101915,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,23,100910,1,19,3,133101907#2,19,3,133101915#1,,,,,,,,,,19,3,133101915#2,,,,,,,,,,,,,,,
100909,1009,10,,,,,1,100906,3,,,,,,,,,,,,,,,20,,,133101916,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,23,100910,1,19,3,133101908#2,19,3,133101916#1,,,,,,,,,,19,3,133101916#2,,,,,,,,,,,,,,,
100910,1009,11,2,1,,,1,100906,3,,,,,,,,,,,,,,,24,100910,,,3,,,,,,,,,,,,,,,,,,,,,,,,1,,Q100907Tribute,,3,2,2,1,,,1,,,23,100911,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100911,1009,12,,,1,,1,100906,3,,,,,,,,,,,,,,,24,100911,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,15,3,133101902,19,3,133101905#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100912,1009,13,,,,,1,100911,3,,,,,,,,,,,,,,,9,1103,187,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Q1009Door,,3,2,2,1,,,1,,,19,3,133101906#1,19,3,133101907#1,19,3,133101908#1,,,,,,,,,,2,3,187,,,,,,,10258,,1000,,,,,,
100913,1009,14,,,1,,1,99902,3,,,,,,,,,,,,,,,2,100913,,,,,,,,,,,,,,,,2,19,1103,,,,10,3,,,,2,,10258,,3,2,2,,,,1,,,,,,,,,,,,14,100912,,,,,,,,,,,,,,,,,,,,,,,,,
100914,1009,15,,,,,1,100912,3,,,,,,,,,,,,,,,2,100914,,,,,,,,,,,,,,,,2,19,1103,,,,10,3,,,,,,,,,,,,1,,1,,,17,3,187,19,3,133101902#2,,,,14,100912,,,,,,,,,,,,,,,,,10258,,1000,,,,,,
101801,1018,1,,,,1,1,100317,3,,1,100807,3,,1,100914,3,,,,,,2,2,100397,,,,2,100396,,,,,,,,,,,,,,,,,,,,,,2,,10200,,3,2,2,,1,,1,,,43,10004,1,23,100403,1,,,,,,,,,,,,,,,,,,,,,,10200,,1000,,,,,,
101001,1010,1,,,,,1,101801,3,,,,,,,,,,,,,,,18,1,,0#24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101002,1010,2,,,,,1,101001,3,,,,,,,,,,,,,,,2,101002,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,10235,,1033,2,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10235,,1000,,,,,,
